key,es-ES,en-US
UNSPECIFIED,Sin especificar,Unspecified
CANT_BAN_BOT,No puedo banear a un bot!,I can't ban a bot
YOU_CANT_SELF_BAN,No puedes autobanearte,You can't self ban
I_CANT_SELF_BAN,No puedo autoanearme,I can't self ba
YOU_CANT_BAN_HIGHER_ROLE,No puedes banear a alguien con mayor rol al tuyo,You can't ban someone with a higher role than yours
I_CANT_BAN_USER,No puedo banear a ese usuario,I can't ban that user,
MEMBER_BANNED,Miembro baneado,Member banned
USER_SUCCESSFULLY_BANNED,El usuario fue baneado con éxito del servidor,The user was successfully banned from the server
ERROR_OCURRED_DEVELOPERS_ALREADY_NOTIFIED,Ocurrio un error&44 ya fue notificado a mis desarrolladores.,An error occurred&44 my developers have already been notified.
MUST_WRITE_INTEGER,Debes escribir un numero entero!,You must write an integer!
THERE_NOT_MESSAGE_DELETE,No hay ningún mensaje para borrar.,There is no message to delete.
HAVE_BEEN_DELETED,se han borrado,Have been deleted
MESSAGES_OLDER_CANT_DELETED,Los mensajes de 14 días de antigüedad no podrán ser borrados.,Messages older than 14 days cannot be deleted.
