key,es-ES,en-US
THANKS_FOR_INVITING_ME,Gracias por invitarme!,Thanks for inviting me!
THANKS_FOR_THE_OPPORTUNITY,Gracias {user} agradezco la \n oportunidad de estar en tu servidor :heart:\nNos vemos en el!,Thanks {user} I appreciate the \n chance to be on your server :heart:\nSee you there!
INVITATION,Invitación,Invitation
SUPPORT_SERVER,Servidor de soporte,Support server
SOPHIA_INFO,Información de sophia.,Sophia. information
WELCOME_TO_ABOUT_ME,Bienvenido al apartado de información sobre mi! a continuación verás aspectos e información diversa de mi.,Welcome to the information section about me! Below you will see various aspects and information about me.
NAME,Nombre,Name
DISCRIMINATOR,Discriminador,Discriminator
OWNERS,Dueños,Owners
DEVELOPERS,Desarolladores,Developers
CREATION_DATE,Fecha de creación,Creation date
UPTIME,Tiempo activo,Uptime
PACKAGE,Paquete,Package
SERVERS,Servidores,Servers
USERS,Usuarios,Users
TOTAL_COMMANDS,Comandos totales,Total commands
PROGRAMMING_LANGUAGE,Lenguaje de programación,Programming language
